 DISTANCE,     TIME,         TEMP,         PERCENT,      RATE,         SOLVENT REMAINING,
 cm,           sec,          deg C,        REMAINING,    gm/sqm/min,   gm/sqm,
          ,             ,             ,             ,             ,    SOLVENT 1,
 0.0000E+000,    0.0000E+000,    0.2000E+002,    0.7870E+002,    0.0000E+000,    0.1047E+002,
 0.2286E+001,    0.2250E-001,    0.2392E+002,    0.7859E+002,    0.1854E+003,    0.1040E+002,
 0.4572E+001,    0.4500E-001,    0.2725E+002,    0.7842E+002,    0.2703E+003,    0.1030E+002,
 0.6858E+001,    0.6750E-001,    0.3003E+002,    0.7820E+002,    0.3550E+003,    0.1016E+002,
 0.9144E+001,    0.9000E-001,    0.3230E+002,    0.7792E+002,    0.4354E+003,    0.1000E+002,
 0.1143E+002,    0.1125E+000,    0.3414E+002,    0.7759E+002,    0.5085E+003,    0.9809E+001,
 0.1372E+002,    0.1350E+000,    0.3560E+002,    0.7720E+002,    0.5723E+003,    0.9595E+001,
 0.1600E+002,    0.1575E+000,    0.3674E+002,    0.7677E+002,    0.6263E+003,    0.9360E+001,
 0.1829E+002,    0.1800E+000,    0.3764E+002,    0.7628E+002,    0.6707E+003,    0.9108E+001,
 0.2057E+002,    0.2025E+000,    0.3833E+002,    0.7574E+002,    0.7064E+003,    0.8843E+001,
 0.2286E+002,    0.2250E+000,    0.3886E+002,    0.7515E+002,    0.7345E+003,    0.8568E+001,
 0.2514E+002,    0.2475E+000,    0.3926E+002,    0.7452E+002,    0.7562E+003,    0.8284E+001,
 0.2743E+002,    0.2700E+000,    0.3957E+002,    0.7384E+002,    0.7729E+003,    0.7994E+001,
 0.2972E+002,    0.2925E+000,    0.3981E+002,    0.7310E+002,    0.7854E+003,    0.7700E+001,
 0.3200E+002,    0.3150E+000,    0.3999E+002,    0.7232E+002,    0.7947E+003,    0.7402E+001,
 0.3429E+002,    0.3375E+000,    0.4013E+002,    0.7148E+002,    0.8014E+003,    0.7101E+001,
 0.3657E+002,    0.3600E+000,    0.4024E+002,    0.7059E+002,    0.8062E+003,    0.6799E+001,
 0.3886E+002,    0.3825E+000,    0.4033E+002,    0.6963E+002,    0.8095E+003,    0.6496E+001,
 0.4115E+002,    0.4050E+000,    0.4041E+002,    0.6861E+002,    0.8116E+003,    0.6191E+001,
 0.4343E+002,    0.4275E+000,    0.4048E+002,    0.6751E+002,    0.8128E+003,    0.5886E+001,
 0.4572E+002,    0.4500E+000,    0.4054E+002,    0.6633E+002,    0.8132E+003,    0.5582E+001,
 0.4800E+002,    0.4725E+000,    0.4059E+002,    0.6507E+002,    0.8130E+003,    0.5277E+001,
 0.5029E+002,    0.4950E+000,    0.4065E+002,    0.6370E+002,    0.8121E+003,    0.4972E+001,
 0.5258E+002,    0.5175E+000,    0.4071E+002,    0.6223E+002,    0.8108E+003,    0.4668E+001,
 0.5486E+002,    0.5400E+000,    0.4077E+002,    0.6064E+002,    0.8088E+003,    0.4365E+001,
 0.5715E+002,    0.5625E+000,    0.4085E+002,    0.5892E+002,    0.8063E+003,    0.4062E+001,
 0.5943E+002,    0.5850E+000,    0.4093E+002,    0.5704E+002,    0.8030E+003,    0.3761E+001,
 0.6172E+002,    0.6075E+000,    0.4103E+002,    0.5500E+002,    0.7990E+003,    0.3462E+001,
 0.6400E+002,    0.6300E+000,    0.4114E+002,    0.5276E+002,    0.7939E+003,    0.3164E+001,
 0.6629E+002,    0.6525E+000,    0.4128E+002,    0.5031E+002,    0.7874E+003,    0.2869E+001,
 0.6858E+002,    0.6750E+000,    0.4144E+002,    0.4763E+002,    0.7793E+003,    0.2577E+001,
 0.7086E+002,    0.6975E+000,    0.4165E+002,    0.4468E+002,    0.7689E+003,    0.2288E+001,
 0.7315E+002,    0.7200E+000,    0.4190E+002,    0.4144E+002,    0.7555E+003,    0.2005E+001,
 0.7543E+002,    0.7425E+000,    0.4222E+002,    0.3789E+002,    0.7379E+003,    0.1728E+001,
 0.7772E+002,    0.7650E+000,    0.4264E+002,    0.3401E+002,    0.7147E+003,    0.1460E+001,
 0.8001E+002,    0.7875E+000,    0.4317E+002,    0.2982E+002,    0.6839E+003,    0.1204E+001,
 0.8229E+002,    0.8100E+000,    0.4388E+002,    0.2536E+002,    0.6428E+003,    0.9628E+000,
 0.8458E+002,    0.8325E+000,    0.4480E+002,    0.2076E+002,    0.5884E+003,    0.7421E+000,
 0.8686E+002,    0.8550E+000,    0.4600E+002,    0.1620E+002,    0.5183E+003,    0.5478E+000,
 0.8915E+002,    0.8775E+000,    0.4755E+002,    0.1198E+002,    0.4322E+003,    0.3857E+000,
 0.9144E+002,    0.9000E+000,    0.4947E+002,    0.8411E+001,    0.3348E+003,    0.2602E+000,
 0.9372E+002,    0.9225E+000,    0.5174E+002,    0.5704E+001,    0.2368E+003,    0.1714E+000,
 0.9601E+002,    0.9450E+000,    0.5426E+002,    0.3880E+001,    0.1520E+003,    0.1144E+000,
 0.9829E+002,    0.9675E+000,    0.5690E+002,    0.2769E+001,    0.8982E+002,    0.8069E-001,
 0.1006E+003,    0.9900E+000,    0.5952E+002,    0.2126E+001,    0.5107E+002,    0.6154E-001,
 0.1029E+003,    0.1012E+001,    0.6205E+002,    0.1745E+001,    0.2992E+002,    0.5032E-001,
 0.1052E+003,    0.1035E+001,    0.6443E+002,    0.1499E+001,    0.1918E+002,    0.4312E-001,
 0.1074E+003,    0.1057E+001,    0.6665E+002,    0.1324E+001,    0.1361E+002,    0.3802E-001,
 0.1097E+003,    0.1080E+001,    0.6871E+002,    0.1190E+001,    0.1040E+002,    0.3412E-001,
 0.1120E+003,    0.1102E+001,    0.7062E+002,    0.1083E+001,    0.8287E+001,    0.3101E-001,
 0.1143E+003,    0.1125E+001,    0.7238E+002,    0.9951E+000,    0.6765E+001,    0.2847E-001,
 0.1166E+003,    0.1147E+001,    0.7401E+002,    0.9223E+000,    0.5612E+001,    0.2637E-001,
 0.1189E+003,    0.1170E+001,    0.7552E+002,    0.8610E+000,    0.4711E+001,    0.2460E-001,
 0.1212E+003,    0.1192E+001,    0.7691E+002,    0.8090E+000,    0.3994E+001,    0.2311E-001,
 0.1234E+003,    0.1215E+001,    0.7820E+002,    0.7645E+000,    0.3415E+001,    0.2183E-001,
 0.1257E+003,    0.1237E+001,    0.7938E+002,    0.7262E+000,    0.2941E+001,    0.2072E-001,
 0.1280E+003,    0.1260E+001,    0.8047E+002,    0.6929E+000,    0.2550E+001,    0.1977E-001,
 0.1303E+003,    0.1282E+001,    0.8148E+002,    0.6639E+000,    0.2223E+001,    0.1893E-001,
 0.1326E+003,    0.1305E+001,    0.8241E+002,    0.6384E+000,    0.1947E+001,    0.1820E-001,
 0.1349E+003,    0.1327E+001,    0.8327E+002,    0.6160E+000,    0.1714E+001,    0.1756E-001,
 0.1372E+003,    0.1350E+001,    0.8406E+002,    0.5962E+000,    0.1514E+001,    0.1699E-001,
 0.1394E+003,    0.1372E+001,    0.8478E+002,    0.5787E+000,    0.1343E+001,    0.1649E-001,
 0.1417E+003,    0.1395E+001,    0.8545E+002,    0.5630E+000,    0.1195E+001,    0.1604E-001,
 0.1440E+003,    0.1417E+001,    0.8607E+002,    0.5491E+000,    0.1066E+001,    0.1564E-001,
 0.1463E+003,    0.1440E+001,    0.8664E+002,    0.5366E+000,    0.9540E+000,    0.1528E-001,
 0.1486E+003,    0.1462E+001,    0.8717E+002,    0.5254E+000,    0.8558E+000,    0.1496E-001,
 0.1509E+003,    0.1485E+001,    0.8765E+002,    0.5153E+000,    0.7693E+000,    0.1467E-001,
 0.1532E+003,    0.1507E+001,    0.8810E+002,    0.5062E+000,    0.6931E+000,    0.1441E-001,
 0.1554E+003,    0.1530E+001,    0.8851E+002,    0.4980E+000,    0.6255E+000,    0.1418E-001,
 0.1577E+003,    0.1552E+001,    0.8889E+002,    0.4906E+000,    0.5655E+000,    0.1397E-001,
 0.1600E+003,    0.1575E+001,    0.8924E+002,    0.4839E+000,    0.5120E+000,    0.1378E-001,
 0.1623E+003,    0.1597E+001,    0.8956E+002,    0.4778E+000,    0.4642E+000,    0.1360E-001,
 0.1646E+003,    0.1620E+001,    0.8986E+002,    0.4723E+000,    0.4215E+000,    0.1344E-001,
 0.1669E+003,    0.1642E+001,    0.9013E+002,    0.4673E+000,    0.3831E+000,    0.1330E-001,
 0.1692E+003,    0.1665E+001,    0.9038E+002,    0.4627E+000,    0.3486E+000,    0.1317E-001,
 0.1714E+003,    0.1687E+001,    0.9061E+002,    0.4585E+000,    0.3175E+000,    0.1305E-001,
 0.1737E+003,    0.1710E+001,    0.9083E+002,    0.4547E+000,    0.2895E+000,    0.1294E-001,
 0.1760E+003,    0.1732E+001,    0.9103E+002,    0.4513E+000,    0.2642E+000,    0.1284E-001,
 0.1783E+003,    0.1755E+001,    0.9121E+002,    0.4481E+000,    0.2412E+000,    0.1275E-001,
 0.1806E+003,    0.1777E+001,    0.9137E+002,    0.4452E+000,    0.2204E+000,    0.1267E-001,
 0.1829E+003,    0.1800E+001,    0.9153E+002,    0.4426E+000,    0.2016E+000,    0.1259E-001,
 0.1852E+003,    0.1822E+001,    0.9167E+002,    0.4401E+000,    0.1844E+000,    0.1252E-001,
 0.1874E+003,    0.1845E+001,    0.9180E+002,    0.4379E+000,    0.1688E+000,    0.1246E-001,
 0.1897E+003,    0.1867E+001,    0.9192E+002,    0.4359E+000,    0.1546E+000,    0.1240E-001,
 0.1920E+003,    0.1890E+001,    0.9203E+002,    0.4340E+000,    0.1417E+000,    0.1235E-001,
 0.1943E+003,    0.1912E+001,    0.9213E+002,    0.4323E+000,    0.1299E+000,    0.1230E-001,
 0.1966E+003,    0.1935E+001,    0.9223E+002,    0.4308E+000,    0.1191E+000,    0.1226E-001,
 0.1989E+003,    0.1957E+001,    0.9231E+002,    0.4293E+000,    0.1093E+000,    0.1222E-001,
 0.2012E+003,    0.1980E+001,    0.9239E+002,    0.4280E+000,    0.1003E+000,    0.1218E-001,
 0.2034E+003,    0.2002E+001,    0.9247E+002,    0.4268E+000,    0.9207E-001,    0.1214E-001,
 0.2057E+003,    0.2025E+001,    0.9254E+002,    0.4257E+000,    0.8454E-001,    0.1211E-001,
 0.2080E+003,    0.2047E+001,    0.9260E+002,    0.4247E+000,    0.7765E-001,    0.1208E-001,
 0.2103E+003,    0.2070E+001,    0.9266E+002,    0.4238E+000,    0.7133E-001,    0.1206E-001,
 0.2126E+003,    0.2092E+001,    0.9271E+002,    0.4229E+000,    0.6555E-001,    0.1203E-001,
 0.2149E+003,    0.2115E+001,    0.9276E+002,    0.4221E+000,    0.6025E-001,    0.1201E-001,
 0.2172E+003,    0.2137E+001,    0.9280E+002,    0.4214E+000,    0.5538E-001,    0.1199E-001,
 0.2194E+003,    0.2160E+001,    0.9284E+002,    0.4207E+000,    0.5092E-001,    0.1197E-001,
 0.2217E+003,    0.2182E+001,    0.9288E+002,    0.4201E+000,    0.4682E-001,    0.1195E-001,
 0.2240E+003,    0.2205E+001,    0.9292E+002,    0.4195E+000,    0.4306E-001,    0.1193E-001,
 0.2263E+003,    0.2227E+001,    0.9295E+002,    0.4190E+000,    0.3961E-001,    0.1192E-001,
 0.2286E+003,    0.2250E+001,    0.9298E+002,    0.4185E+000,    0.3644E-001,    0.1191E-001,
