 DISTANCE,     TIME,Power latent,Power web,Power total
 cm,           sec,W,W,W
          ,             ,,,
0.00E+00,0.00E+00,0,-300.2992449,-390.794318
2.29E+00,2.25E-02,50.27100711,-213.2124639,-226.8861225
4.57E+00,4.50E-02,100.5420142,-135.1346602,-74.92648159
6.86E+00,6.75E-02,150.8130213,-66.06583388,65.1234994
9.14E+00,9.00E-02,221.1924313,-4.804787918,214.9701465
1.14E+01,1.13E-01,291.5718413,48.64847767,354.4744598
1.37E+01,1.35E-01,372.0054526,96.09575836,496.0362708
1.60E+01,1.58E-01,452.439064,136.9364557,628.8676733
1.83E+01,1.80E-01,537.8997761,172.9723651,760.3337922
2.06E+01,2.03E-01,629.3930091,204.2034865,891.4538767
2.29E+01,2.25E-01,724.9079226,231.8310171,1021.790186
2.51E+01,2.48E-01,823.4390965,255.2543582,1149.597252
2.74E+01,2.70E-01,925.991951,275.6747068,1277.433437
2.97E+01,2.93E-01,1030.555646,293.092063,1403.324169
3.20E+01,3.15E-01,1137.130181,308.1070253,1528.055445
3.43E+01,3.38E-01,1245.715556,321.320192,1652.40683
3.66E+01,3.60E-01,1356.311772,332.1309648,1775.634576
3.89E+01,3.83E-01,1468.918828,341.7405407,1899.2723
4.12E+01,4.05E-01,1582.531304,350.1489195,2022.334617
4.34E+01,4.28E-01,1696.14378,357.3561014,2143.837388
4.57E+01,4.50E-01,1811.767096,363.3620863,2265.782255
4.80E+01,4.73E-01,1928.395833,368.7674727,2387.933719
5.03E+01,4.95E-01,2045.024569,372.9716622,2508.556233
5.26E+01,5.18E-01,2162.658726,377.1758516,2630.145238
5.49E+01,5.40E-01,2280.292883,380.178844,2750.221162
5.72E+01,5.63E-01,2398.932459,383.1818365,2871.271252
5.94E+01,5.85E-01,2517.572036,385.5842304,2991.562641
6.17E+01,6.08E-01,2636.211613,387.9866244,3111.837711
6.40E+01,6.30E-01,2755.85661,389.7884199,3232.356441
6.63E+01,6.53E-01,2875.501607,391.5902153,3352.862828
6.86E+01,6.75E-01,2995.146604,393.3920108,3473.356872
7.09E+01,6.98E-01,3114.791601,394.5932078,3593.110539
7.32E+01,7.20E-01,3234.436598,395.7944048,3712.855978
7.54E+01,7.43E-01,3354.081595,396.9956017,3832.593188
7.77E+01,7.65E-01,3473.726592,397.5962002,3951.600306
8.00E+01,7.88E-01,3594.377009,398.7973972,4072.317058
8.23E+01,8.10E-01,3714.022006,399.3979957,4191.313873
8.46E+01,8.33E-01,3833.667003,400.5991927,4311.022249
8.69E+01,8.55E-01,3954.31742,401.1997912,4431.002652
8.92E+01,8.78E-01,4073.962417,401.8003897,4549.98505
9.14E+01,9.00E-01,4193.607413,402.4009882,4668.963334
9.37E+01,9.23E-01,4313.25241,403.6021851,4788.644933
9.60E+01,9.45E-01,4432.897407,404.2027836,4907.612932
9.83E+01,9.68E-01,4552.542404,404.8033821,5026.576816
1.01E+02,9.90E-01,4673.192821,405.4039806,5146.530338
1.03E+02,1.01E+00,4791.832398,406.0045791,5264.492243
1.05E+02,1.04E+00,4911.477395,407.2057761,5384.140928
1.07E+02,1.06E+00,5031.122392,407.8063746,5503.086299
1.10E+02,1.08E+00,5150.767389,408.4069731,5622.027555
1.12E+02,1.10E+00,5269.406966,409.60817,5740.662039
1.14E+02,1.13E+00,5389.051963,410.2087685,5859.593027
1.17E+02,1.15E+00,5507.691539,411.4099655,5978.213198
