 DISTANCE,     TIME,         TEMP,         PERCENT,      RATE,         SOLVENT REMAINING,
 cm,           sec,          deg C,        REMAINING,    gm/sqm/min,   gm/sqm,
          ,             ,             ,             ,             ,    SOLVENT 1,
 0.0000E+000,    0.0000E+000,    0.2000E+002,    0.7870E+002,    0.0000E+000,    0.1047E+002,
 0.2286E+001,    0.2250E-001,    0.2178E+002,    0.7847E+002,    0.3768E+003,    0.1033E+002,
 0.4572E+001,    0.4500E-001,    0.2307E+002,    0.7819E+002,    0.4506E+003,    0.1016E+002,
 0.6858E+001,    0.6750E-001,    0.2400E+002,    0.7787E+002,    0.5075E+003,    0.9967E+001,
 0.9144E+001,    0.9000E-001,    0.2466E+002,    0.7750E+002,    0.5501E+003,    0.9760E+001,
 0.1143E+002,    0.1125E+000,    0.2512E+002,    0.7711E+002,    0.5810E+003,    0.9542E+001,
 0.1372E+002,    0.1350E+000,    0.2544E+002,    0.7668E+002,    0.6030E+003,    0.9316E+001,
 0.1600E+002,    0.1575E+000,    0.2567E+002,    0.7623E+002,    0.6185E+003,    0.9084E+001,
 0.1829E+002,    0.1800E+000,    0.2583E+002,    0.7575E+002,    0.6291E+003,    0.8848E+001,
 0.2057E+002,    0.2025E+000,    0.2594E+002,    0.7524E+002,    0.6364E+003,    0.8610E+001,
 0.2286E+002,    0.2250E+000,    0.2602E+002,    0.7471E+002,    0.6413E+003,    0.8369E+001,
 0.2514E+002,    0.2475E+000,    0.2608E+002,    0.7415E+002,    0.6445E+003,    0.8128E+001,
 0.2743E+002,    0.2700E+000,    0.2612E+002,    0.7357E+002,    0.6465E+003,    0.7885E+001,
 0.2972E+002,    0.2925E+000,    0.2615E+002,    0.7296E+002,    0.6477E+003,    0.7642E+001,
 0.3200E+002,    0.3150E+000,    0.2618E+002,    0.7231E+002,    0.6484E+003,    0.7399E+001,
 0.3429E+002,    0.3375E+000,    0.2620E+002,    0.7164E+002,    0.6486E+003,    0.7156E+001,
 0.3657E+002,    0.3600E+000,    0.2623E+002,    0.7093E+002,    0.6485E+003,    0.6913E+001,
 0.3886E+002,    0.3825E+000,    0.2625E+002,    0.7019E+002,    0.6482E+003,    0.6670E+001,
 0.4115E+002,    0.4050E+000,    0.2626E+002,    0.6941E+002,    0.6477E+003,    0.6427E+001,
 0.4343E+002,    0.4275E+000,    0.2629E+002,    0.6858E+002,    0.6470E+003,    0.6184E+001,
 0.4572E+002,    0.4500E+000,    0.2631E+002,    0.6772E+002,    0.6462E+003,    0.5942E+001,
 0.4800E+002,    0.4725E+000,    0.2633E+002,    0.6680E+002,    0.6452E+003,    0.5700E+001,
 0.5029E+002,    0.4950E+000,    0.2636E+002,    0.6583E+002,    0.6441E+003,    0.5458E+001,
 0.5258E+002,    0.5175E+000,    0.2638E+002,    0.6481E+002,    0.6429E+003,    0.5217E+001,
 0.5486E+002,    0.5400E+000,    0.2641E+002,    0.6373E+002,    0.6414E+003,    0.4977E+001,
 0.5715E+002,    0.5625E+000,    0.2645E+002,    0.6258E+002,    0.6398E+003,    0.4737E+001,
 0.5943E+002,    0.5850E+000,    0.2649E+002,    0.6136E+002,    0.6379E+003,    0.4498E+001,
 0.6172E+002,    0.6075E+000,    0.2653E+002,    0.6006E+002,    0.6358E+003,    0.4259E+001,
 0.6400E+002,    0.6300E+000,    0.2658E+002,    0.5867E+002,    0.6333E+003,    0.4022E+001,
 0.6629E+002,    0.6525E+000,    0.2664E+002,    0.5720E+002,    0.6304E+003,    0.3785E+001,
 0.6858E+002,    0.6750E+000,    0.2670E+002,    0.5562E+002,    0.6271E+003,    0.3550E+001,
 0.7086E+002,    0.6975E+000,    0.2678E+002,    0.5393E+002,    0.6232E+003,    0.3317E+001,
 0.7315E+002,    0.7200E+000,    0.2687E+002,    0.5213E+002,    0.6186E+003,    0.3085E+001,
 0.7543E+002,    0.7425E+000,    0.2697E+002,    0.5019E+002,    0.6132E+003,    0.2855E+001,
 0.7772E+002,    0.7650E+000,    0.2709E+002,    0.4812E+002,    0.6067E+003,    0.2627E+001,
 0.8001E+002,    0.7875E+000,    0.2723E+002,    0.4589E+002,    0.5989E+003,    0.2403E+001,
 0.8229E+002,    0.8100E+000,    0.2740E+002,    0.4351E+002,    0.5896E+003,    0.2182E+001,
 0.8458E+002,    0.8325E+000,    0.2760E+002,    0.4095E+002,    0.5782E+003,    0.1965E+001,
 0.8686E+002,    0.8550E+000,    0.2784E+002,    0.3823E+002,    0.5643E+003,    0.1753E+001,
 0.8915E+002,    0.8775E+000,    0.2813E+002,    0.3533E+002,    0.5473E+003,    0.1548E+001,
 0.9144E+002,    0.9000E+000,    0.2848E+002,    0.3228E+002,    0.5265E+003,    0.1351E+001,
 0.9372E+002,    0.9225E+000,    0.2891E+002,    0.2910E+002,    0.5010E+003,    0.1163E+001,
 0.9601E+002,    0.9450E+000,    0.2944E+002,    0.2583E+002,    0.4699E+003,    0.9864E+000,
 0.9829E+002,    0.9675E+000,    0.3008E+002,    0.2254E+002,    0.4327E+003,    0.8242E+000,
 0.1006E+003,    0.9900E+000,    0.3084E+002,    0.1932E+002,    0.3890E+003,    0.6783E+000,
 0.1029E+003,    0.1012E+001,    0.3175E+002,    0.1629E+002,    0.3393E+003,    0.5511E+000,
 0.1052E+003,    0.1035E+001,    0.3280E+002,    0.1355E+002,    0.2857E+003,    0.4440E+000,
 0.1074E+003,    0.1057E+001,    0.3398E+002,    0.1120E+002,    0.2311E+003,    0.3573E+000,
 0.1097E+003,    0.1080E+001,    0.3525E+002,    0.9285E+001,    0.1796E+003,    0.2900E+000,
 0.1120E+003,    0.1102E+001,    0.3657E+002,    0.7795E+001,    0.1346E+003,    0.2395E+000,
 0.1143E+003,    0.1125E+001,    0.3790E+002,    0.6675E+001,    0.9833E+002,    0.2026E+000,
 0.1166E+003,    0.1147E+001,    0.3918E+002,    0.5848E+001,    0.7114E+002,    0.1760E+000,
 0.1189E+003,    0.1170E+001,    0.4038E+002,    0.5236E+001,    0.5179E+002,    0.1565E+000,
 0.1212E+003,    0.1192E+001,    0.4148E+002,    0.4777E+001,    0.3842E+002,    0.1421E+000,
 0.1234E+003,    0.1215E+001,    0.4248E+002,    0.4425E+001,    0.2922E+002,    0.1312E+000,
 0.1257E+003,    0.1237E+001,    0.4338E+002,    0.4149E+001,    0.2278E+002,    0.1226E+000,
 0.1280E+003,    0.1260E+001,    0.4418E+002,    0.3928E+001,    0.1814E+002,    0.1158E+000,
 0.1303E+003,    0.1282E+001,    0.4489E+002,    0.3748E+001,    0.1469E+002,    0.1103E+000,
 0.1326E+003,    0.1305E+001,    0.4552E+002,    0.3600E+001,    0.1206E+002,    0.1058E+000,
 0.1349E+003,    0.1327E+001,    0.4607E+002,    0.3477E+001,    0.9991E+001,    0.1020E+000,
 0.1372E+003,    0.1350E+001,    0.4656E+002,    0.3374E+001,    0.8347E+001,    0.9892E-001,
 0.1394E+003,    0.1372E+001,    0.4698E+002,    0.3287E+001,    0.7018E+001,    0.9629E-001,
 0.1417E+003,    0.1395E+001,    0.4736E+002,    0.3214E+001,    0.5933E+001,    0.9406E-001,
 0.1440E+003,    0.1417E+001,    0.4769E+002,    0.3151E+001,    0.5037E+001,    0.9217E-001,
 0.1463E+003,    0.1440E+001,    0.4798E+002,    0.3098E+001,    0.4294E+001,    0.9056E-001,
 0.1486E+003,    0.1462E+001,    0.4823E+002,    0.3052E+001,    0.3671E+001,    0.8918E-001,
 0.1509E+003,    0.1485E+001,    0.4845E+002,    0.3013E+001,    0.3148E+001,    0.8800E-001,
 0.1532E+003,    0.1507E+001,    0.4864E+002,    0.2979E+001,    0.2706E+001,    0.8699E-001,
 0.1554E+003,    0.1530E+001,    0.4881E+002,    0.2950E+001,    0.2330E+001,    0.8612E-001,
 0.1577E+003,    0.1552E+001,    0.4896E+002,    0.2925E+001,    0.2011E+001,    0.8536E-001,
 0.1600E+003,    0.1575E+001,    0.4909E+002,    0.2903E+001,    0.1737E+001,    0.8471E-001,
 0.1623E+003,    0.1597E+001,    0.4920E+002,    0.2885E+001,    0.1503E+001,    0.8415E-001,
 0.1646E+003,    0.1620E+001,    0.4930E+002,    0.2868E+001,    0.1302E+001,    0.8366E-001,
 0.1669E+003,    0.1642E+001,    0.4939E+002,    0.2854E+001,    0.1129E+001,    0.8324E-001,
 0.1692E+003,    0.1665E+001,    0.4946E+002,    0.2842E+001,    0.9798E+000,    0.8287E-001,
 0.1714E+003,    0.1687E+001,    0.4953E+002,    0.2831E+001,    0.8509E+000,    0.8255E-001,
 0.1737E+003,    0.1710E+001,    0.4958E+002,    0.2822E+001,    0.7395E+000,    0.8227E-001,
 0.1760E+003,    0.1732E+001,    0.4963E+002,    0.2814E+001,    0.6430E+000,    0.8203E-001,
 0.1783E+003,    0.1755E+001,    0.4968E+002,    0.2807E+001,    0.5594E+000,    0.8182E-001,
 0.1806E+003,    0.1777E+001,    0.4972E+002,    0.2801E+001,    0.4869E+000,    0.8164E-001,
 0.1829E+003,    0.1800E+001,    0.4975E+002,    0.2796E+001,    0.4239E+000,    0.8148E-001,
 0.1852E+003,    0.1822E+001,    0.4978E+002,    0.2791E+001,    0.3692E+000,    0.8134E-001,
 0.1874E+003,    0.1845E+001,    0.4980E+002,    0.2787E+001,    0.3216E+000,    0.8122E-001,
 0.1897E+003,    0.1867E+001,    0.4983E+002,    0.2784E+001,    0.2803E+000,    0.8111E-001,
 0.1920E+003,    0.1890E+001,    0.4985E+002,    0.2781E+001,    0.2443E+000,    0.8102E-001,
 0.1943E+003,    0.1912E+001,    0.4986E+002,    0.2778E+001,    0.2130E+000,    0.8094E-001,
 0.1966E+003,    0.1935E+001,    0.4988E+002,    0.2776E+001,    0.1857E+000,    0.8087E-001,
 0.1989E+003,    0.1957E+001,    0.4989E+002,    0.2774E+001,    0.1619E+000,    0.8081E-001,
 0.2012E+003,    0.1980E+001,    0.4990E+002,    0.2772E+001,    0.1412E+000,    0.8076E-001,
 0.2034E+003,    0.2002E+001,    0.4991E+002,    0.2770E+001,    0.1232E+000,    0.8071E-001,
 0.2057E+003,    0.2025E+001,    0.4992E+002,    0.2769E+001,    0.1075E+000,    0.8067E-001,
 0.2080E+003,    0.2047E+001,    0.4993E+002,    0.2768E+001,    0.9374E-001,    0.8064E-001,
 0.2103E+003,    0.2070E+001,    0.4993E+002,    0.2767E+001,    0.8178E-001,    0.8061E-001,
 0.2126E+003,    0.2092E+001,    0.4994E+002,    0.2766E+001,    0.7136E-001,    0.8058E-001,
 0.2149E+003,    0.2115E+001,    0.4995E+002,    0.2765E+001,    0.6226E-001,    0.8056E-001,
 0.2172E+003,    0.2137E+001,    0.4995E+002,    0.2764E+001,    0.5433E-001,    0.8054E-001,
 0.2194E+003,    0.2160E+001,    0.4995E+002,    0.2764E+001,    0.4741E-001,    0.8052E-001,
 0.2217E+003,    0.2182E+001,    0.4996E+002,    0.2763E+001,    0.4137E-001,    0.8050E-001,
 0.2240E+003,    0.2205E+001,    0.4996E+002,    0.2763E+001,    0.3611E-001,    0.8049E-001,
 0.2263E+003,    0.2227E+001,    0.4996E+002,    0.2762E+001,    0.3151E-001,    0.8048E-001,
 0.2286E+003,    0.2250E+001,    0.4996E+002,    0.2762E+001,    0.2750E-001,    0.8047E-001,
