 VAPOR RESISTANCE DRYING MODEL

 Generic Dryer for Python Class.                                                 

 SOLVENT  1 IS Water                    

 THE WSPEED IS  0.6096E+002 meters/min
 THE CWIDTH IS  0.4064E+002 cm
 THE WTOT   IS  0.1330E+002 gm/sqm

 DRYING SECTION   1

        TU =  0.9333E+002 deg C       HU  =  0.1942E+003 Cal/sqm/sec/deg C
        TL =  0.9333E+002 deg C       HL  =  0.5845E+002 Cal/sqm/sec/deg C

     TWALL =  0.1950E+003 deg C      VIEW =  0.0000E+000

 OVEN PARTIAL PRESSURE OF SOLVENT  1 IS  0.1202E-001 atm


 DISTANCE     TIME         TEMP         PERCENT      RATE         SOLVENT REMAINING
 cm           sec          deg C        REMAINING    gm/sqm/min   gm/sqm
                                                                  SOLVENT 1
 0.0000E+000    0.0000E+000    0.2000E+002    0.7870E+002    0.0000E+000    0.1047E+002
 0.2286E+001    0.2250E-001    0.2588E+002    0.7843E+002    0.4386E+003    0.1030E+002
 0.4572E+001    0.4500E-001    0.3009E+002    0.7799E+002    0.7073E+003    0.1004E+002
 0.6858E+001    0.6750E-001    0.3295E+002    0.7737E+002    0.9390E+003    0.9685E+001
 0.9144E+001    0.9000E-001    0.3481E+002    0.7659E+002    0.1116E+004    0.9267E+001
 0.1143E+002    0.1125E+000    0.3598E+002    0.7565E+002    0.1239E+004    0.8802E+001
 0.1372E+002    0.1350E+000    0.3671E+002    0.7457E+002    0.1320E+004    0.8307E+001
 0.1600E+002    0.1575E+000    0.3716E+002    0.7334E+002    0.1369E+004    0.7794E+001
 0.1829E+002    0.1800E+000    0.3744E+002    0.7196E+002    0.1399E+004    0.7269E+001
 0.2057E+002    0.2025E+000    0.3762E+002    0.7040E+002    0.1415E+004    0.6739E+001
 0.2286E+002    0.2250E+000    0.3775E+002    0.6865E+002    0.1424E+004    0.6205E+001
 0.2514E+002    0.2475E+000    0.3785E+002    0.6668E+002    0.1427E+004    0.5670E+001
 0.2743E+002    0.2700E+000    0.3795E+002    0.6445E+002    0.1426E+004    0.5135E+001
 0.2972E+002    0.2925E+000    0.3805E+002    0.6190E+002    0.1422E+004    0.4602E+001
 0.3200E+002    0.3150E+000    0.3817E+002    0.5897E+002    0.1416E+004    0.4071E+001
 0.3429E+002    0.3375E+000    0.3832E+002    0.5558E+002    0.1406E+004    0.3544E+001
 0.3657E+002    0.3600E+000    0.3853E+002    0.5162E+002    0.1391E+004    0.3023E+001
 0.3886E+002    0.3825E+000    0.3881E+002    0.4697E+002    0.1368E+004    0.2510E+001
 0.4115E+002    0.4050E+000    0.3923E+002    0.4150E+002    0.1334E+004    0.2009E+001
 0.4343E+002    0.4275E+000    0.3986E+002    0.3507E+002    0.1279E+004    0.1530E+001
 0.4572E+002    0.4500E+000    0.4086E+002    0.2768E+002    0.1189E+004    0.1084E+001
 0.4800E+002    0.4725E+000    0.4245E+002    0.1967E+002    0.1041E+004    0.6937E+000
 0.5029E+002    0.4950E+000    0.4498E+002    0.1209E+002    0.8115E+003    0.3894E+000
 0.5258E+002    0.5175E+000    0.4865E+002    0.6457E+001    0.5171E+003    0.1955E+000
 0.5486E+002    0.5400E+000    0.5316E+002    0.3453E+001    0.2513E+003    0.1013E+000
 0.5715E+002    0.5625E+000    0.5783E+002    0.2203E+001    0.9997E+002    0.6382E-001
 0.5943E+002    0.5850E+000    0.6218E+002    0.1654E+001    0.4319E+002    0.4763E-001
 0.6172E+002    0.6075E+000    0.6607E+002    0.1340E+001    0.2438E+002    0.3849E-001
 0.6400E+002    0.6300E+000    0.6950E+002    0.1131E+001    0.1621E+002    0.3241E-001
 0.6629E+002    0.6525E+000    0.7250E+002    0.9816E+000    0.1153E+002    0.2808E-001
 0.6858E+002    0.6750E+000    0.7514E+002    0.8708E+000    0.8525E+001    0.2489E-001
 0.7086E+002    0.6975E+000    0.7745E+002    0.7865E+000    0.6477E+001    0.2246E-001
 0.7315E+002    0.7200E+000    0.7947E+002    0.7209E+000    0.5029E+001    0.2057E-001
 0.7543E+002    0.7425E+000    0.8123E+002    0.6691E+000    0.3974E+001    0.1908E-001
 0.7772E+002    0.7650E+000    0.8277E+002    0.6274E+000    0.3185E+001    0.1789E-001
 0.8001E+002    0.7875E+000    0.8412E+002    0.5936E+000    0.2584E+001    0.1692E-001
 0.8229E+002    0.8100E+000    0.8529E+002    0.5659E+000    0.2118E+001    0.1612E-001
 0.8458E+002    0.8325E+000    0.8632E+002    0.5430E+000    0.1751E+001    0.1547E-001
 0.8686E+002    0.8550E+000    0.8721E+002    0.5239E+000    0.1458E+001    0.1492E-001
 0.8915E+002    0.8775E+000    0.8799E+002    0.5079E+000    0.1222E+001    0.1446E-001
 0.9144E+002    0.9000E+000    0.8868E+002    0.4944E+000    0.1029E+001    0.1408E-001
 0.9372E+002    0.9225E+000    0.8927E+002    0.4830E+000    0.8709E+000    0.1375E-001
 0.9601E+002    0.9450E+000    0.8979E+002    0.4733E+000    0.7400E+000    0.1347E-001
 0.9829E+002    0.9675E+000    0.9024E+002    0.4650E+000    0.6309E+000    0.1324E-001
 0.1006E+003    0.9900E+000    0.9064E+002    0.4580E+000    0.5395E+000    0.1303E-001
 0.1029E+003    0.1012E+001    0.9098E+002    0.4519E+000    0.4625E+000    0.1286E-001
 0.1052E+003    0.1035E+001    0.9128E+002    0.4467E+000    0.3974E+000    0.1271E-001
 0.1074E+003    0.1057E+001    0.9154E+002    0.4422E+000    0.3421E+000    0.1258E-001
 0.1097E+003    0.1080E+001    0.9177E+002    0.4383E+000    0.2950E+000    0.1247E-001
 0.1120E+003    0.1102E+001    0.9197E+002    0.4350E+000    0.2548E+000    0.1238E-001
 0.1143E+003    0.1125E+001    0.9214E+002    0.4321E+000    0.2203E+000    0.1229E-001
 0.1166E+003    0.1147E+001    0.9230E+002    0.4296E+000    0.1907E+000    0.1222E-001
 0.1189E+003    0.1170E+001    0.9243E+002    0.4274E+000    0.1652E+000    0.1216E-001
 0.1212E+003    0.1192E+001    0.9254E+002    0.4255E+000    0.1433E+000    0.1211E-001
 0.1234E+003    0.1215E+001    0.9264E+002    0.4239E+000    0.1244E+000    0.1206E-001
 0.1257E+003    0.1237E+001    0.9273E+002    0.4225E+000    0.1080E+000    0.1202E-001
 0.1280E+003    0.1260E+001    0.9281E+002    0.4213E+000    0.9382E-001    0.1198E-001
 0.1303E+003    0.1282E+001    0.9288E+002    0.4202E+000    0.8156E-001    0.1195E-001
 0.1326E+003    0.1305E+001    0.9293E+002    0.4193E+000    0.7092E-001    0.1193E-001
 0.1349E+003    0.1327E+001    0.9298E+002    0.4185E+000    0.6170E-001    0.1190E-001
 0.1372E+003    0.1350E+001    0.9303E+002    0.4178E+000    0.5369E-001    0.1188E-001
 0.1394E+003    0.1372E+001    0.9307E+002    0.4171E+000    0.4674E-001    0.1187E-001
 0.1417E+003    0.1395E+001    0.9310E+002    0.4166E+000    0.4069E-001    0.1185E-001
 0.1440E+003    0.1417E+001    0.9313E+002    0.4161E+000    0.3544E-001    0.1184E-001
 0.1463E+003    0.1440E+001    0.9316E+002    0.4157E+000    0.3086E-001    0.1183E-001
 0.1486E+003    0.1462E+001    0.9318E+002    0.4154E+000    0.2689E-001    0.1182E-001
 0.1509E+003    0.1485E+001    0.9320E+002    0.4151E+000    0.2343E-001    0.1181E-001
 0.1532E+003    0.1507E+001    0.9321E+002    0.4148E+000    0.2041E-001    0.1180E-001
 0.1554E+003    0.1530E+001    0.9323E+002    0.4146E+000    0.1779E-001    0.1179E-001
 0.1577E+003    0.1552E+001    0.9324E+002    0.4144E+000    0.1550E-001    0.1179E-001
 0.1600E+003    0.1575E+001    0.9325E+002    0.4142E+000    0.1351E-001    0.1178E-001
 0.1623E+003    0.1597E+001    0.9326E+002    0.4140E+000    0.1178E-001    0.1178E-001
 0.1646E+003    0.1620E+001    0.9327E+002    0.4139E+000    0.1027E-001    0.1177E-001
 0.1669E+003    0.1642E+001    0.9328E+002    0.4138E+000    0.8951E-002    0.1177E-001
 0.1692E+003    0.1665E+001    0.9329E+002    0.4137E+000    0.7804E-002    0.1177E-001
 0.1714E+003    0.1687E+001    0.9329E+002    0.4136E+000    0.6803E-002    0.1177E-001
 0.1737E+003    0.1710E+001    0.9330E+002    0.4135E+000    0.5932E-002    0.1176E-001
 0.1760E+003    0.1732E+001    0.9330E+002    0.4134E+000    0.5172E-002    0.1176E-001
 0.1783E+003    0.1755E+001    0.9330E+002    0.4134E+000    0.4509E-002    0.1176E-001
 0.1806E+003    0.1777E+001    0.9331E+002    0.4133E+000    0.3932E-002    0.1176E-001
 0.1829E+003    0.1800E+001    0.9331E+002    0.4133E+000    0.3429E-002    0.1176E-001
 0.1852E+003    0.1822E+001    0.9331E+002    0.4133E+000    0.2990E-002    0.1176E-001
 0.1874E+003    0.1845E+001    0.9332E+002    0.4132E+000    0.2607E-002    0.1175E-001
 0.1897E+003    0.1867E+001    0.9332E+002    0.4132E+000    0.2273E-002    0.1175E-001
 0.1920E+003    0.1890E+001    0.9332E+002    0.4132E+000    0.1982E-002    0.1175E-001
 0.1943E+003    0.1912E+001    0.9332E+002    0.4131E+000    0.1729E-002    0.1175E-001
 0.1966E+003    0.1935E+001    0.9332E+002    0.4131E+000    0.1507E-002    0.1175E-001
 0.1989E+003    0.1957E+001    0.9332E+002    0.4131E+000    0.1314E-002    0.1175E-001
 0.2012E+003    0.1980E+001    0.9332E+002    0.4131E+000    0.1146E-002    0.1175E-001
 0.2034E+003    0.2002E+001    0.9332E+002    0.4131E+000    0.9996E-003    0.1175E-001
 0.2057E+003    0.2025E+001    0.9333E+002    0.4131E+000    0.8717E-003    0.1175E-001
 0.2080E+003    0.2047E+001    0.9333E+002    0.4131E+000    0.7602E-003    0.1175E-001
 0.2103E+003    0.2070E+001    0.9333E+002    0.4130E+000    0.6629E-003    0.1175E-001
 0.2126E+003    0.2092E+001    0.9333E+002    0.4130E+000    0.5781E-003    0.1175E-001
 0.2149E+003    0.2115E+001    0.9333E+002    0.4130E+000    0.5042E-003    0.1175E-001
 0.2172E+003    0.2137E+001    0.9333E+002    0.4130E+000    0.4397E-003    0.1175E-001
 0.2194E+003    0.2160E+001    0.9333E+002    0.4130E+000    0.3834E-003    0.1175E-001
 0.2217E+003    0.2182E+001    0.9333E+002    0.4130E+000    0.3344E-003    0.1175E-001
 0.2240E+003    0.2205E+001    0.9333E+002    0.4130E+000    0.2916E-003    0.1175E-001
 0.2263E+003    0.2227E+001    0.9333E+002    0.4130E+000    0.2543E-003    0.1175E-001
 0.2286E+003    0.2250E+001    0.9333E+002    0.4130E+000    0.2218E-003    0.1175E-001

 THE OVERALL DRYING RATE IN DRYING SECTION  2 IS  0.2590E+003 gm/min

