 VAPOR RESISTANCE DRYING MODEL

 Generic Dryer for Python Class.                                                 

 SOLVENT  1 IS Water                    

 THE WSPEED IS  0.6096E+002 meters/min
 THE CWIDTH IS  0.4064E+002 cm
 THE WTOT   IS  0.1330E+002 gm/sqm

 DRYING SECTION   1

        TU = -0.3889E+001 deg C       HU  =  0.3015E+001 Cal/sqm/sec/deg C
        TL =  0.9333E+002 deg C       HL  =  0.2672E+001 Cal/sqm/sec/deg C

     TWALL =  0.1950E+003 deg C      VIEW =  0.0000E+000

 OVEN PARTIAL PRESSURE OF SOLVENT  1 IS  0.1202E-001 atm


 DISTANCE     TIME         TEMP         PERCENT      RATE         SOLVENT REMAINING
 cm           sec          deg C        REMAINING    gm/sqm/min   gm/sqm
                                                                  SOLVENT 1
 0.0000E+000    0.0000E+000    0.2000E+002    0.7870E+002    0.0000E+000    0.1047E+002
 0.2286E+001    0.2250E-001    0.2003E+002    0.7870E+002    0.5045E+001    0.1047E+002
 0.4572E+001    0.4500E-001    0.2007E+002    0.7869E+002    0.5067E+001    0.1046E+002
 0.6858E+001    0.6750E-001    0.2010E+002    0.7869E+002    0.5089E+001    0.1046E+002
 0.9144E+001    0.9000E-001    0.2013E+002    0.7869E+002    0.5110E+001    0.1046E+002
 0.1143E+002    0.1125E+000    0.2016E+002    0.7868E+002    0.5132E+001    0.1046E+002
 0.1372E+002    0.1350E+000    0.2019E+002    0.7868E+002    0.5153E+001    0.1046E+002
 0.1600E+002    0.1575E+000    0.2022E+002    0.7868E+002    0.5175E+001    0.1045E+002
 0.1829E+002    0.1800E+000    0.2026E+002    0.7868E+002    0.5196E+001    0.1045E+002
 0.2057E+002    0.2025E+000    0.2029E+002    0.7867E+002    0.5217E+001    0.1045E+002
 0.2286E+002    0.2250E+000    0.2032E+002    0.7867E+002    0.5239E+001    0.1045E+002
 0.2514E+002    0.2475E+000    0.2035E+002    0.7867E+002    0.5260E+001    0.1045E+002
 0.2743E+002    0.2700E+000    0.2038E+002    0.7866E+002    0.5281E+001    0.1044E+002
 0.2972E+002    0.2925E+000    0.2041E+002    0.7866E+002    0.5302E+001    0.1044E+002
 0.3200E+002    0.3150E+000    0.2044E+002    0.7866E+002    0.5322E+001    0.1044E+002
 0.3429E+002    0.3375E+000    0.2047E+002    0.7865E+002    0.5343E+001    0.1044E+002
 0.3657E+002    0.3600E+000    0.2050E+002    0.7865E+002    0.5364E+001    0.1044E+002
 0.3886E+002    0.3825E+000    0.2053E+002    0.7865E+002    0.5384E+001    0.1043E+002
 0.4115E+002    0.4050E+000    0.2056E+002    0.7864E+002    0.5405E+001    0.1043E+002
 0.4343E+002    0.4275E+000    0.2059E+002    0.7864E+002    0.5426E+001    0.1043E+002
 0.4572E+002    0.4500E+000    0.2062E+002    0.7864E+002    0.5446E+001    0.1043E+002
 0.4800E+002    0.4725E+000    0.2065E+002    0.7863E+002    0.5466E+001    0.1043E+002
 0.5029E+002    0.4950E+000    0.2068E+002    0.7863E+002    0.5486E+001    0.1042E+002
 0.5258E+002    0.5175E+000    0.2071E+002    0.7863E+002    0.5507E+001    0.1042E+002
 0.5486E+002    0.5400E+000    0.2074E+002    0.7862E+002    0.5527E+001    0.1042E+002
 0.5715E+002    0.5625E+000    0.2077E+002    0.7862E+002    0.5547E+001    0.1042E+002
 0.5943E+002    0.5850E+000    0.2079E+002    0.7862E+002    0.5567E+001    0.1042E+002
 0.6172E+002    0.6075E+000    0.2082E+002    0.7861E+002    0.5586E+001    0.1041E+002
 0.6400E+002    0.6300E+000    0.2085E+002    0.7861E+002    0.5606E+001    0.1041E+002
 0.6629E+002    0.6525E+000    0.2088E+002    0.7861E+002    0.5626E+001    0.1041E+002
 0.6858E+002    0.6750E+000    0.2091E+002    0.7860E+002    0.5646E+001    0.1041E+002
 0.7086E+002    0.6975E+000    0.2093E+002    0.7860E+002    0.5665E+001    0.1040E+002
 0.7315E+002    0.7200E+000    0.2096E+002    0.7860E+002    0.5685E+001    0.1040E+002
 0.7543E+002    0.7425E+000    0.2099E+002    0.7859E+002    0.5704E+001    0.1040E+002
 0.7772E+002    0.7650E+000    0.2102E+002    0.7859E+002    0.5723E+001    0.1040E+002
 0.8001E+002    0.7875E+000    0.2104E+002    0.7859E+002    0.5742E+001    0.1040E+002
 0.8229E+002    0.8100E+000    0.2107E+002    0.7858E+002    0.5762E+001    0.1039E+002
 0.8458E+002    0.8325E+000    0.2110E+002    0.7858E+002    0.5781E+001    0.1039E+002
 0.8686E+002    0.8550E+000    0.2113E+002    0.7858E+002    0.5800E+001    0.1039E+002
 0.8915E+002    0.8775E+000    0.2115E+002    0.7857E+002    0.5819E+001    0.1039E+002
 0.9144E+002    0.9000E+000    0.2118E+002    0.7857E+002    0.5837E+001    0.1039E+002
 0.9372E+002    0.9225E+000    0.2120E+002    0.7856E+002    0.5856E+001    0.1038E+002
 0.9601E+002    0.9450E+000    0.2123E+002    0.7856E+002    0.5875E+001    0.1038E+002
 0.9829E+002    0.9675E+000    0.2126E+002    0.7856E+002    0.5894E+001    0.1038E+002
 0.1006E+003    0.9900E+000    0.2128E+002    0.7855E+002    0.5912E+001    0.1038E+002
 0.1029E+003    0.1012E+001    0.2131E+002    0.7855E+002    0.5931E+001    0.1037E+002
 0.1052E+003    0.1035E+001    0.2133E+002    0.7855E+002    0.5949E+001    0.1037E+002
 0.1074E+003    0.1057E+001    0.2136E+002    0.7854E+002    0.5967E+001    0.1037E+002
 0.1097E+003    0.1080E+001    0.2138E+002    0.7854E+002    0.5986E+001    0.1037E+002
 0.1120E+003    0.1102E+001    0.2141E+002    0.7854E+002    0.6004E+001    0.1037E+002
 0.1143E+003    0.1125E+001    0.2144E+002    0.7853E+002    0.6022E+001    0.1036E+002
 0.1166E+003    0.1147E+001    0.2146E+002    0.7853E+002    0.6040E+001    0.1036E+002
 0.1189E+003    0.1170E+001    0.2148E+002    0.7852E+002    0.6058E+001    0.1036E+002
 0.1212E+003    0.1192E+001    0.2151E+002    0.7852E+002    0.6076E+001    0.1036E+002
 0.1234E+003    0.1215E+001    0.2153E+002    0.7852E+002    0.6093E+001    0.1035E+002
 0.1257E+003    0.1237E+001    0.2156E+002    0.7851E+002    0.6111E+001    0.1035E+002
 0.1280E+003    0.1260E+001    0.2158E+002    0.7851E+002    0.6129E+001    0.1035E+002
 0.1303E+003    0.1282E+001    0.2161E+002    0.7851E+002    0.6146E+001    0.1035E+002
 0.1326E+003    0.1305E+001    0.2163E+002    0.7850E+002    0.6164E+001    0.1034E+002
 0.1349E+003    0.1327E+001    0.2165E+002    0.7850E+002    0.6181E+001    0.1034E+002
 0.1372E+003    0.1350E+001    0.2168E+002    0.7849E+002    0.6199E+001    0.1034E+002
 0.1394E+003    0.1372E+001    0.2170E+002    0.7849E+002    0.6216E+001    0.1034E+002
 0.1417E+003    0.1395E+001    0.2173E+002    0.7849E+002    0.6233E+001    0.1034E+002
 0.1440E+003    0.1417E+001    0.2175E+002    0.7848E+002    0.6250E+001    0.1033E+002
 0.1463E+003    0.1440E+001    0.2177E+002    0.7848E+002    0.6267E+001    0.1033E+002
 0.1486E+003    0.1462E+001    0.2180E+002    0.7848E+002    0.6284E+001    0.1033E+002
 0.1509E+003    0.1485E+001    0.2182E+002    0.7847E+002    0.6301E+001    0.1033E+002
 0.1532E+003    0.1507E+001    0.2184E+002    0.7847E+002    0.6318E+001    0.1032E+002
 0.1554E+003    0.1530E+001    0.2186E+002    0.7846E+002    0.6335E+001    0.1032E+002
 0.1577E+003    0.1552E+001    0.2189E+002    0.7846E+002    0.6351E+001    0.1032E+002
 0.1600E+003    0.1575E+001    0.2191E+002    0.7846E+002    0.6368E+001    0.1032E+002
 0.1623E+003    0.1597E+001    0.2193E+002    0.7845E+002    0.6384E+001    0.1031E+002
 0.1646E+003    0.1620E+001    0.2195E+002    0.7845E+002    0.6401E+001    0.1031E+002
 0.1669E+003    0.1642E+001    0.2198E+002    0.7844E+002    0.6417E+001    0.1031E+002
 0.1692E+003    0.1665E+001    0.2200E+002    0.7844E+002    0.6434E+001    0.1031E+002
 0.1714E+003    0.1687E+001    0.2202E+002    0.7844E+002    0.6450E+001    0.1030E+002
 0.1737E+003    0.1710E+001    0.2204E+002    0.7843E+002    0.6466E+001    0.1030E+002
 0.1760E+003    0.1732E+001    0.2206E+002    0.7843E+002    0.6482E+001    0.1030E+002
 0.1783E+003    0.1755E+001    0.2208E+002    0.7842E+002    0.6498E+001    0.1030E+002
 0.1806E+003    0.1777E+001    0.2211E+002    0.7842E+002    0.6514E+001    0.1029E+002
 0.1829E+003    0.1800E+001    0.2213E+002    0.7842E+002    0.6530E+001    0.1029E+002
 0.1852E+003    0.1822E+001    0.2215E+002    0.7841E+002    0.6546E+001    0.1029E+002
 0.1874E+003    0.1845E+001    0.2217E+002    0.7841E+002    0.6562E+001    0.1029E+002
 0.1897E+003    0.1867E+001    0.2219E+002    0.7840E+002    0.6577E+001    0.1028E+002
 0.1920E+003    0.1890E+001    0.2221E+002    0.7840E+002    0.6593E+001    0.1028E+002
 0.1943E+003    0.1912E+001    0.2223E+002    0.7840E+002    0.6608E+001    0.1028E+002
 0.1966E+003    0.1935E+001    0.2225E+002    0.7839E+002    0.6624E+001    0.1028E+002
 0.1989E+003    0.1957E+001    0.2227E+002    0.7839E+002    0.6639E+001    0.1028E+002
 0.2012E+003    0.1980E+001    0.2229E+002    0.7838E+002    0.6655E+001    0.1027E+002
 0.2034E+003    0.2002E+001    0.2231E+002    0.7838E+002    0.6670E+001    0.1027E+002
 0.2057E+003    0.2025E+001    0.2233E+002    0.7838E+002    0.6685E+001    0.1027E+002
 0.2080E+003    0.2047E+001    0.2235E+002    0.7837E+002    0.6700E+001    0.1026E+002
 0.2103E+003    0.2070E+001    0.2237E+002    0.7837E+002    0.6715E+001    0.1026E+002
 0.2126E+003    0.2092E+001    0.2239E+002    0.7836E+002    0.6730E+001    0.1026E+002
 0.2149E+003    0.2115E+001    0.2241E+002    0.7836E+002    0.6745E+001    0.1026E+002
 0.2172E+003    0.2137E+001    0.2243E+002    0.7835E+002    0.6760E+001    0.1025E+002
 0.2194E+003    0.2160E+001    0.2245E+002    0.7835E+002    0.6775E+001    0.1025E+002
 0.2217E+003    0.2182E+001    0.2247E+002    0.7835E+002    0.6789E+001    0.1025E+002
 0.2240E+003    0.2205E+001    0.2249E+002    0.7834E+002    0.6804E+001    0.1025E+002
 0.2263E+003    0.2227E+001    0.2251E+002    0.7834E+002    0.6818E+001    0.1024E+002
 0.2286E+003    0.2250E+001    0.2253E+002    0.7833E+002    0.6833E+001    0.1024E+002

 THE OVERALL DRYING RATE IN DRYING SECTION  2 IS  0.5574E+001 gm/min

